class,feature,mean_abs_shap,rank
battery_voltage_sensor_drift,rule_pred_thermal_anomaly,0.0008913804010047244,42
battery_voltage_sensor_drift,rule_pred_reaction_wheel_degradation,0.001340874059142985,40
battery_voltage_sensor_drift,rule_pred_battery_voltage_sensor_drift,0.10059729005657025,1
battery_voltage_sensor_drift,rule_pred_telemetry_dropout,0.0016137384259678155,36
battery_voltage_sensor_drift,physics_detected,0.002312636525202945,28
battery_voltage_sensor_drift,physics_confidence,0.006658513237401056,11
battery_voltage_sensor_drift,physics_pred_solar_array_degradation,0.002926839926548791,24
battery_voltage_sensor_drift,physics_pred_battery_degradation,0.00026781809155034734,50
battery_voltage_sensor_drift,physics_pred_thermal_anomaly,0.00969362456859885,8
battery_voltage_sensor_drift,physics_pred_reaction_wheel_degradation,0.01125053667479751,4
battery_voltage_sensor_drift,physics_pred_battery_voltage_sensor_drift,0.00406277417884382,16
battery_voltage_sensor_drift,physics_pred_telemetry_dropout,0.0030334595722821757,23
battery_voltage_sensor_drift,ml_power_ratio,0.0034118467503723537,19
battery_voltage_sensor_drift,ml_battery_ratio,0.0033530931571053827,20
battery_voltage_sensor_drift,ml_thermal_ratio,0.0036804242077016765,18
battery_voltage_sensor_drift,ml_wheel_ratio,0.002415441674709346,27
battery_voltage_sensor_drift,ml_max_ratio,0.0031430326023727147,22
battery_voltage_sensor_drift,ml_persistent_anomaly,0.0004462716711586808,45
battery_voltage_sensor_drift,missing_battery_soc_measured,0.0020597891579100876,32
battery_voltage_sensor_drift,missing_battery_voltage_measured,0.002421736887792892,26
battery_voltage_sensor_drift,missing_battery_current_measured,0.002310257913249808,29
battery_voltage_sensor_drift,missing_battery_temp_measured,0.0021188499956010603,30
battery_voltage_sensor_drift,missing_electronics_temp_measured,0.002455046702577732,25
battery_voltage_sensor_drift,missing_wheel_speed_measured,0.0013590314999490075,39
battery_voltage_sensor_drift,missing_wheel_current_measured,0.0020638728425327246,31
battery_voltage_sensor_drift,missing_wheel_temp_measured,0.001719681088958911,34
battery_voltage_sensor_drift,missing_count,0.0019165329850920677,33
nominal,in_sunlight,0.0011313781274182872,46
nominal,solar_power_w,0.003865536727097227,24
nominal,load_power_w,0.0011923730338619925,44
nominal,battery_soc_measured,0.011055829993300126,13
nominal,battery_voltage_measured,0.010344203794803225,14
nominal,battery_current_measured,0.005542524406934927,22
nominal,battery_temp_measured,0.014582738240546539,8
nominal,electronics_temp_measured,0.019132164837149388,4
nominal,wheel_target_speed_rpm,0.001197709603543382,43
nominal,wheel_speed_measured,0.0016938522384687396,40
nominal,wheel_current_measured,0.0011609807796011725,45
nominal,wheel_temp_measured,0.01249284052548282,10
nominal,battery_soc_rate,0.0032303273380897436,26
nominal,battery_voltage_rate,0.0005993247440902656,51
nominal,battery_temp_rate,0.0007669630804797568,48
nominal,electronics_temp_rate,0.0005059011075051803,53
nominal,wheel_speed_rate,0.0009710502063900581,47
nominal,wheel_current_rate,0.0006119293476995858,50
nominal,wheel_temp_rate,0.0004571095313657786,54
nominal,wheel_tracking_error_rpm,0.0007300686423660103,49
nominal,solar_relative_residual,0.007515717837395386,16
nominal,battery_innovation_v,0.01141731151529551,12
nominal,battery_temp_residual_c,0.009309680190813957,15
nominal,electronics_temp_residual_c,0.012125713417179391,11
nominal,wheel_current_residual_a,0.0063153186085257345,20
nominal,wheel_temp_residual_c,0.006877886596761203,18
nominal,rule_detected,0.021441729127321407,2
nominal,rule_confidence,0.018047356850242186,5
nominal,rule_pred_solar_array_degradation,0.0029182849097410144,28
nominal,rule_pred_battery_degradation,0.00018120230475493685,57
nominal,rule_pred_thermal_anomaly,0.0005697616146530004,52
nominal,rule_pred_reaction_wheel_degradation,0.00040252090975707687,55
nominal,rule_pred_battery_voltage_sensor_drift,0.02249533687715117,1
nominal,rule_pred_telemetry_dropout,0.0017098678979785918,39
nominal,physics_detected,0.019450138902309805,3
nominal,physics_confidence,0.017702428087885483,6
nominal,physics_pred_solar_array_degradation,0.003165133268980242,27
nominal,physics_pred_battery_degradation,0.0013964834389486069,41
nominal,physics_pred_thermal_anomaly,0.006636792340655559,19
nominal,physics_pred_reaction_wheel_degradation,0.015892684808848683,7
nominal,physics_pred_battery_voltage_sensor_drift,0.001328275510823405,42
nominal,physics_pred_telemetry_dropout,0.0033942025420662944,25
nominal,ml_power_ratio,0.005808746448629121,21
nominal,ml_battery_ratio,0.014321609955184647,9
nominal,ml_thermal_ratio,0.00499485479675192,23
nominal,ml_wheel_ratio,0.0024075144197296433,32
nominal,ml_max_ratio,0.007255309829970747,17
nominal,ml_persistent_anomaly,0.0002988207500255072,56
nominal,missing_battery_soc_measured,0.0020880089678203193,35
nominal,missing_battery_voltage_measured,0.002473577080369653,31
nominal,missing_battery_current_measured,0.0026860429832217913,30
nominal,missing_battery_temp_measured,0.0027201874287431623,29
nominal,missing_electronics_temp_measured,0.0023444730536892585,33
nominal,missing_wheel_speed_measured,0.0017306578158341383,38
nominal,missing_wheel_current_measured,0.0021698977741683324,34
nominal,missing_wheel_temp_measured,0.0019964525065953856,36
nominal,missing_count,0.0019738431736365976,37
reaction_wheel_degradation,in_sunlight,0.00021823350667220023,54
reaction_wheel_degradation,solar_power_w,0.0009507884684189544,41
reaction_wheel_degradation,load_power_w,0.0004083796248544218,46
reaction_wheel_degradation,battery_soc_measured,0.002010679580107802,31
reaction_wheel_degradation,battery_voltage_measured,0.0020699816954454966,27
reaction_wheel_degradation,battery_current_measured,0.0018441420314526872,34
reaction_wheel_degradation,battery_temp_measured,0.007487737214731864,7
reaction_wheel_degradation,electronics_temp_measured,0.0074027403870357495,8
reaction_wheel_degradation,wheel_target_speed_rpm,0.0003406900994203098,49
reaction_wheel_degradation,wheel_speed_measured,0.0003386130340917983,50
reaction_wheel_degradation,wheel_current_measured,0.004078720555024059,15
reaction_wheel_degradation,wheel_temp_measured,0.006982212727664673,11
reaction_wheel_degradation,battery_soc_rate,0.00043845745043859035,44
reaction_wheel_degradation,battery_voltage_rate,0.00012408897557888667,56
