profile,scenarios,hybrid_detection_recall,raw_diagnosis_accuracy,selective_coverage,end_to_end_correct_fraction,scenario_success_rate,mean_diagnosis_delay_min
abrupt,37,0.7437661070708603,0.8781658904241648,0.7500496740709031,0.6928860826420798,1.0,14.094005829165411
gradual,83,0.695014944055957,0.8367730884090876,0.7277030281195529,0.6547154453218346,1.0,21.84065523172491
