threshold,accepted_samples,coverage,accepted_accuracy,accepted_errors
0.5,431,0.8225190839694656,0.9930394431554525,3
0.6,391,0.7461832061068703,0.9974424552429667,1
0.7,360,0.6870229007633588,1.0,0
0.8,303,0.5782442748091603,1.0,0
0.9,203,0.38740458015267176,1.0,0
