time_h,in_sunlight,solar_power_w,load_power_w,battery_soc_measured,battery_voltage_measured,battery_current_measured,battery_temp_measured,electronics_temp_measured,wheel_target_speed_rpm,wheel_speed_measured,wheel_current_measured,wheel_temp_measured,battery_soc_rate,battery_voltage_rate,battery_temp_rate,electronics_temp_rate,wheel_speed_rate,wheel_current_rate,wheel_temp_rate,wheel_tracking_error_rpm
0.0,1,600.0,350.0,90.4329672254747,29.58368142919373,-8.419188472044928,22.11639309371659,23.827896481134616,3000.0,2993.4891024656886,0.1663471652837853,24.95392816543449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.510897534311425
0.0166666666666666,1,601.2556165273943,354.1582338163552,90.73636801658104,29.60399781209607,-8.313166126288799,22.121861279071197,24.05283489313776,3103.95584540888,3057.61412873928,0.2020649808369438,24.890005079163533,0.005056679851772354,0.00033860638170561214,9.113642257680965e-05,0.0037489735333857393,1.0687504378931938,0.0005952969258859751,-0.001065384771182624,-46.34171666959992
0.0333333333333333,1,602.5051158172811,358.134732861516,91.17712480810638,29.615368508026727,-8.21711127988946,22.060279591710188,24.051189205726207,3203.3683215379,3124.2684743991504,0.2216352178947671,24.926183740138494,0.00734594652542242,0.00018951159884430523,-0.0010263614560168221,-2.742812352588923e-05,1.110905760997836,0.0003261706176303882,0.0006029776829160246,-79.09984713874974
0.05,1,603.7424104347197,361.7557050458495,91.3778083508288,29.64797495009581,-8.143121289983151,22.122510491843528,24.13456687020827,3293.8926261462366,3212.936979148743,0.2314799016690466,24.886084351532592,0.0033447257120402677,0.0005434407011514135,0.0010371816688889979,0.001389627741367742,1.4778084124932094,0.0001640780629046587,-0.0006683231434317112,-80.95564699749366
0.0666666666666666,1,604.961472404706,364.8628965095479,91.71831491691016,29.648417356661543,-8.073049855949348,22.21914027694531,24.10563880406175,3371.572412738697,3286.976861051388,0.2153074672017467,24.950927083519133,0.005675109434689319,7.373442762196684e-06,0.0016104964183630461,-0.00048213443577533135,1.23399803171075,-0.00026954057445499846,0.001080712199775687,-84.59555168730913
0.0833333333333333,1,606.156362579862,367.3205080756888,92.32482479473924,29.703341586469097,-8.065085266899967,22.14941477647335,24.15249791315026,3433.0127018922194,3363.188615647855,0.2180051240738408,24.89725667715055,0.010108497963818052,0.0009154038301259011,-0.00116209167453268,0.0007809851514751406,1.2701959099411169,4.496094786823474e-05,-0.0008945067728096963,-69.82408624436448
0.1,1,607.3212595753644,369.0211303259031,92.66656996068652,29.70325886200755,-8.014567115325283,22.20906957922862,24.018889228625323,3475.5282581475767,3417.2133593241065,0.2023729163066978,24.80893149589708,0.005695752765787887,-1.378741025763001e-06,0.0009942467125878096,-0.0022268114087489483,0.9004123946041924,-0.00026053679611904993,-0.0014720863542245037,-58.31489882347023
0.1166666666666666,1,608.450488130146,369.8904379073655,92.8307588725631,29.76027973224937,-8.05412859765977,22.262413281232263,24.01999003875516,3497.2609476841367,3456.361906395086,0.1943870728370982,24.887771135724563,0.0027364818646096484,0.0009503478373636299,0.0008890617000607411,1.834683549729969e-05,0.6524757845163246,-0.00013309739115999336,0.0013139939971246997,-40.89904128905073
0.1333333333333333,1,609.5385467561977,369.8904379073655,93.38465184836348,29.7534966783522,-8.071361760783406,22.139017582885064,24.297557431705854,3497.2609476841367,3476.6921179901674,0.1745640298898728,24.731176654169797,0.009231549596673005,-0.0001130508982861637,-0.0020565949724533185,0.004626123215844894,0.3388368599180239,-0.00033038404912042325,-0.002609908025912766,-20.568829693969292
0.15,1,610.5801345412646,369.0211303259031,93.4179788790965,29.758989595773485,-8.116975108553438,22.274111025555715,24.19224261323044,3475.5282581475767,3477.38114733646,0.1706429844540182,24.778169445820502,0.0005554505122169929,9.154862368809802e-05,0.0022515573778441934,-0.0017552469745902262,0.011483822438208335,-6.535075726424311e-05,0.0007832131941784226,1.8528891888831822
0.1666666666666666,1,611.5701769743577,367.3205080756888,94.05669115300276,29.738755665987654,-8.218588165389008,22.186956001183347,24.138236221089848,3433.0127018922194,3457.235437790576,0.151596232994203,24.785083823543115,0.010645204565104411,-0.00033723216309719344,-0.0014525837395394704,-0.0009001065356765517,-0.33576182576473457,-0.00031744585766358693,0.00011523962871020643,24.222735898356405
0.1833333333333333,1,612.503850668262,364.8628965095479,94.42999876191335,29.786749912486187,-8.297574803175909,22.23571217299961,24.2379140826101,3371.572412738697,3412.787903008141,0.150710386854224,24.649602300415868,0.006221793481843226,0.0007999041083088798,0.0008126028636043614,0.0016612976920042043,-0.7407922463739169,-1.4764102332983272e-05,-0.002258025385454114,41.21549026944376
0.2,1,613.376606858593,361.7557050458495,94.4437453734541,29.758414007008955,-8.434968717255254,22.175899762541672,24.26436127760465,3293.8926261462366,3360.035701593385,0.1693861044387887,24.805778777167117,0.0002291101923458901,-0.00047226509128718656,-0.0009968735076322825,0.00044078658324249177,-0.8792033569125958,0.0003112619597427452,0.002602941279187476,66.14307544714848
