dataset,samples,raw_alarm_samples,persistent_alarm_samples,power_raw_alarms,battery_raw_alarms,thermal_raw_alarms,wheel_raw_alarms
6h_nominal_full,361,105,68,3,5,89,45
solar_prefault_0_2h,120,81,62,0,1,73,41
