time_s,time_h,soc_true,soc_predicted,soc_estimated,soc_error,voltage_predicted_v,voltage_measured_v,innovation_v,kalman_gain,covariance
0.0,0.0,0.9037202380952379,0.8537064075840672,0.8956842555140059,-0.00803598258123206,29.414825630336267,29.58368142919373,0.16885579885746438,0.24860175495289466,5.593539486440201e-05
60.0,0.0166666666666666,0.9073972824808191,0.8993465018207655,0.9001779821505504,-0.00721930033026863,29.597386007283063,29.60399781209607,0.006611804813005051,0.12575693827947404,2.8295311112881662e-05
120.0,0.0333333333333333,0.9110337465128988,0.9037993032610473,0.9038139684125915,-0.0072197781003072725,29.61519721304419,29.615368508026727,0.00017129498253609654,0.08561343319631194,1.926302246917019e-05
180.0,0.05,0.9146347391526145,0.9074066329367138,0.9086214405644887,-0.006013298588125826,29.629626531746855,29.64797495009581,0.01834841834895684,0.06620775723941268,1.4896745378867851e-05
240.0,0.0666666666666666,0.9182076346272445,0.9121832434137495,0.9121658577265787,-0.006041776900665874,29.648732973654997,29.648417356661543,-0.0003156169934541708,0.05508476264379103,1.2394071594852981e-05
300.0,0.0833333333333333,0.9217617396049856,0.9157307384201312,0.9176740842388735,-0.0040876553661121084,29.662922953680525,29.703341586469097,0.040418632788572495,0.04808044420769788,1.0818099946732023e-05
360.0,0.1,0.9253078724807214,0.9212166253355021,0.9220149536154594,-0.0032929188652620622,29.684866501342007,29.70325886200755,0.01839236066554406,0.043405427637838064,9.766221218513566e-06
420.0,0.1166666666666666,0.9288578732280844,0.9255818155212014,0.9279093457169006,-0.0009485275111837943,29.702327262084808,29.76027973224937,0.05795247016456173,0.04016274352223303,9.036617292502432e-06
480.0,0.1333333333333333,0.932424065324049,0.9314830248142109,0.9325264297370636,0.00010236441301458843,29.725932099256845,29.7534966783522,0.027564579095354702,0.037853105583190085,8.516948756217769e-06
540.0,0.15,0.9360186933629682,0.936120968097251,0.9366457386268741,0.0006270452639058899,29.744483872389004,29.758989595773485,0.014505723384480973,0.03617679144388621,8.139778074874398e-06
600.0,0.1666666666666666,0.9396533610549126,0.9402828009091639,0.9395009224013959,-0.0001524386535166622,29.761131203636655,29.738755665987654,-0.02237553764900113,0.03494345119358304,7.862276518556183e-06
660.0,0.1833333333333333,0.943338494301322,0.9431788656386333,0.9436564145077958,0.0003179202064738096,29.772715462554533,29.786749912486187,0.01403444993165337,0.034026903190946436,7.656053217962947e-06
720.0,0.2,0.9470828529592498,0.9473917015795853,0.9463530454167888,-0.0007298075424609918,29.78956680631834,29.758414007008955,-0.031152799309385415,0.03334070086227088,7.5016576940109485e-06
780.0,0.2166666666666666,0.9508931127911455,0.9501751549066912,0.950067121127551,-0.0008259916635945386,29.800700619626767,29.797409324428557,-0.0032912951982098093,0.03282409283707531,7.385420888341945e-06
840.0,0.2333333333333333,0.9547735360424796,0.9539409402217651,0.9526419332609684,-0.002131602781511255,29.81576376088706,29.77571240853826,-0.04005135234879731,0.032433535564144494,7.297545501932511e-06
900.0,0.25,0.958725745228017,0.9565919242043932,0.9570390687836386,-0.0016866764443783655,29.826367696817574,29.84028124996076,0.013913553143186874,0.03213733937289718,7.230901358901865e-06
960.0,0.2666666666666666,0.962748610207924,0.9610633775667161,0.9603914238677975,-0.0023571863401264936,29.844253510266864,29.82319716258953,-0.021056347677333775,0.03191216773276989,7.180237739873225e-06
1020.0,0.2833333333333333,0.9668382536936931,0.9644578641117783,0.9655581659970656,-0.0012800876966275743,29.857831456447112,29.892496811811608,0.034665355364495554,0.031740678083866554,7.141652568869976e-06
1080.0,0.3,0.9709881751570738,0.9697145196760615,0.969481678185502,-0.0015064969715717913,29.878858078704248,29.871491982822903,-0.007366095881344847,0.0316098913603828,7.11222555608613e-06
1140.0,0.3166666666666666,0.9751894879484805,0.9736816586329408,0.9734119982195049,-0.001777489728975623,29.894726634531764,29.88616871452172,-0.00855792001004474,0.031510041355767855,7.089759305047767e-06
1200.0,0.3333333333333333,0.979431259490592,0.9776222776194532,0.9771658327295234,-0.0022654267610685563,29.910489110477812,29.895968256026293,-0.014520854451518517,0.0314337487131891,7.072593460467547e-06
1260.0,0.35,0.9837009399138439,0.9814440887934579,0.9816889591567932,-0.0020119807570506687,29.92577635517383,29.933580883871315,0.007804528697484159,0.031375419686042884,7.05946942935965e-06
1320.0,0.3666666666666666,0.9879848606399407,0.9859751529889588,0.986377395986665,-0.0016074646532757697,29.943900611955836,29.956739190966967,0.012838579011130946,0.03133080361599207,7.049430813598216e-06
1380.0,0.3833333333333333,0.9922687813660376,0.9906654472868197,0.9923080845144959,3.930314845834726e-05,29.96266178914728,30.015147805224032,0.052486016076752406,0.03129666433958503,7.041749476406631e-06
1440.0,0.4,0.9965384617892896,0.9965988490488948,0.9979623000055122,0.001423838216222606,29.98639539619558,30.029997175924425,0.04360177972884571,0.03127053448497983,7.035870259120463e-06
1500.0,0.4166666666666667,1.0,1.0,1.0,0.0,30.0,30.04222445583941,0.042224455839409814,0.031250530741552755,7.031369416849369e-06
1560.0,0.4333333333333333,1.0,1.0,0.9996869074810353,-0.00031309251896471935,30.0,29.989976296778977,-0.010023703221023084,0.03123521437746547,7.027923234929731e-06
1620.0,0.45,1.0,1.0,1.0,0.0,30.0,30.040121943223284,0.04012194322328355,0.031223485572131938,7.025284253729686e-06
1680.0,0.4666666666666667,1.0,1.0,1.0,0.0,30.0,30.006846849904168,0.00684684990416784,0.031214503159758503,7.023263210945664e-06
1740.0,0.4833333333333333,1.0,1.0,1.0,0.0,30.0,30.03617560862665,0.03617560862664959,0.031207623551853955,7.021715299167139e-06
1800.0,0.5,1.0,1.0,0.9999117635918771,-8.823640812294364e-05,30.0,29.997172123372422,-0.0028278766275775524,0.031202354184217202,7.020529691448871e-06
1860.0,0.5166666666666667,1.0,1.0,0.9989034727529341,-0.0010965272470658816,30.0,29.96485300113524,-0.0351469988647608,0.031198317992530856,7.019621548319442e-06
1920.0,0.5333333333333333,1.0,1.0,0.9996479717872502,-0.000352028212749822,30.0,29.988715317863097,-0.011284682136903257,0.031195226279223144,7.018925912825207e-06
1980.0,0.55,1.0,1.0,1.0,0.0,30.0,30.030381474534597,0.03038147453459672,0.0311928579750272,7.018393044381119e-06
2040.0,0.5666666666666667,1.0,1.0,1.0,0.0,30.0,30.06279504926792,0.06279504926791901,0.03119104377965366,7.0179848504220726e-06
2100.0,0.5833333333333334,1.0,1.0,0.9983676089992893,-0.0016323910007106646,30.0,29.94766242039077,-0.05233757960922958,0.031189654028686325,7.017672156454423e-06
2160.0,0.6,1.0,1.0,0.9999031704069615,-9.682959303847216e-05,30.0,29.99689535195802,-0.0031046480419796296,0.03118858940828,7.017432616863e-06
2220.0,0.6166666666666667,1.0,1.0,0.9996520243644146,-0.000347975635585418,30.0,29.98884256256036,-0.01115743743963904,0.03118777384752461,7.017249115693038e-06
2280.0,0.6333333333333333,1.0,1.0,0.9990148929155199,-0.0009851070844800747,30.0,29.968413044678883,-0.031586955321117216,0.03118714907674239,7.017108542267038e-06
2340.0,0.65,1.0,1.0,1.0,0.0,30.0,30.01316979476215,0.013169794762148967,0.031186670460653935,7.017000853647136e-06
2400.0,0.6666666666666666,1.0,1.0,0.9998216289459833,-0.00017837105401674602,30.0,29.994280468274845,-0.005719531725155491,0.031186303807392363,7.016918356663282e-06
2460.0,0.6833333333333333,1.0,1.0,0.9995151073886379,-0.0004848926113620866,30.0,29.984451604729013,-0.015548395270986504,0.031186022924623694,7.016855158040332e-06
2520.0,0.7,1.0,1.0,1.0,0.0,30.0,30.00936028414654,0.009360284146538334,0.031185807747733538,7.016806743240045e-06
2580.0,0.7166666666666667,1.0,1.0,0.9980696976360812,-0.0019303023639187789,30.0,29.93810285169586,-0.061897148304140615,0.03118564290609981,7.016769653872456e-06
2640.0,0.7333333333333333,1.0,1.0,1.0,0.0,30.0,30.024412910698985,0.024412910698984547,0.031185516624879086,7.016741240597794e-06
2700.0,0.75,1.0,1.0,1.0,0.0,30.0,30.011501815930604,0.011501815930603954,0.031185419883767024,7.01671947384758e-06
2760.0,0.7666666666666667,1.0,1.0,1.0,0.0,30.0,30.02533155571456,0.025331555714558363,0.03118534577258868,7.016702798832452e-06
2820.0,0.7833333333333333,1.0,1.0,0.9981255873492597,-0.001874412650740287,30.0,29.939894331238005,-0.06010566876199519,0.031185288997656862,7.016690024472794e-06
2880.0,0.8,1.0,1.0,0.9992570399449668,-0.0007429600550331594,30.0,29.97617591129924,-0.023824088700759916,0.031185245503619504,7.016680238314388e-06
2940.0,0.8166666666666667,1.0,1.0,1.0,0.0,30.0,30.013781573151498,0.01378157315149764,0.03118521218377411,7.016672741349175e-06
3000.0,0.8333333333333334,1.0,1.0,1.0,0.0,30.0,30.00590328289971,0.005903282899708984,0.03118518665815124,7.016666998084028e-06
3060.0,0.85,1.0,1.0,0.9987870788141173,-0.001212921185882676,30.0,29.96110583015776,-0.0388941698422407,0.031185167103511952,7.0166625982901886e-06
3120.0,0.8666666666666667,1.0,1.0,1.0,0.0,30.0,30.03983058396803,0.03983058396802974,0.031185152123114422,7.016659227700744e-06
3180.0,0.8833333333333333,1.0,1.0,0.9996650559768534,-0.00033494402314659943,30.0,29.989259499357768,-0.010740500642231865,0.031185140646945816,7.016656645562809e-06
3240.0,0.9,1.0,1.0,0.9982870888121895,-0.001712911187810473,30.0,29.94507282522457,-0.054927174775428966,0.03118513185529275,7.016654667440868e-06
3300.0,0.9166666666666666,1.0,1.0,1.0,0.0,30.0,30.009859860068477,0.009859860068477388,0.031185125120190484,7.016653152042858e-06
3360.0,0.9333333333333332,0.9950128407218682,0.9950126832985988,0.9953713727735949,0.0003585320517266455,29.980050733194396,29.991552676282947,0.011501943088550348,0.031185119960568664,7.016651991127949e-06
3420.0,0.95,0.9899794434755268,0.9903377867381262,0.9895019257109609,-0.00047751776456594897,29.961351146952506,29.934547942919085,-0.026803204033420513,0.031185116007889497,7.016651101775136e-06
3480.0,0.9666666666666668,0.9848921627145372,0.9844209000319446,0.9840505703344873,-0.0008415923800498826,29.937683600127777,29.925808392309968,-0.011875207817809041,0.03118511297982393,7.016650420460385e-06
