evaluation,raw_accuracy,balanced_accuracy,macro_f1,confidence_coverage,accepted_accuracy
Phase 7 Development,0.9332,0.9447,0.9419,0.687,1.0
Phase 9 Independent Monte Carlo,0.8527,0.8541,0.9003,0.7371,0.9783
