confidence_bin,samples,mean_confidence,observed_accuracy
<0.50,3253,0.41627822996632047,0.3725791577005841
0.50-0.60,1757,0.5490841970211637,0.5418326693227091
0.60-0.70,1620,0.6505360716041246,0.7129629629629629
0.70-0.80,2027,0.7524137752509445,0.8830784410458806
0.80-0.90,3392,0.8570756876498231,0.9678655660377359
0.90-1.00,13172,0.9823764992939428,0.9955967203158215
