scenario_id,fault_type,rank,feature,shap_value
17,solar_array_degradation,4,rule_confidence,0.04057480152393
17,solar_array_degradation,5,battery_temp_measured,0.03705323384963035
18,solar_array_degradation,1,solar_relative_residual,0.1840410059414449
18,solar_array_degradation,2,physics_pred_solar_array_degradation,0.08542159917821003
18,solar_array_degradation,3,battery_current_measured,0.03933025194571941
18,solar_array_degradation,4,ml_power_ratio,0.028516698675113628
18,solar_array_degradation,5,rule_pred_battery_voltage_sensor_drift,0.02657119346998895
19,solar_array_degradation,1,solar_relative_residual,0.17690740896469018
19,solar_array_degradation,2,rule_pred_solar_array_degradation,0.09074873717644102
19,solar_array_degradation,3,rule_confidence,0.037088063978393745
19,solar_array_degradation,4,rule_pred_battery_voltage_sensor_drift,0.034110429842666115
19,solar_array_degradation,5,battery_current_measured,0.033187051058533514
20,solar_array_degradation,1,solar_relative_residual,0.18403135111178182
20,solar_array_degradation,2,physics_pred_solar_array_degradation,0.07873390510262915
20,solar_array_degradation,3,battery_temp_measured,0.06365111075286933
20,solar_array_degradation,4,battery_current_measured,0.03849493346854872
20,solar_array_degradation,5,ml_power_ratio,0.03389136490816398
21,battery_degradation,1,physics_confidence,0.07057403328115007
21,battery_degradation,2,physics_pred_battery_degradation,0.058569237476713595
21,battery_degradation,3,physics_pred_reaction_wheel_degradation,0.05374970408648981
21,battery_degradation,4,rule_pred_battery_voltage_sensor_drift,0.04062172281776301
21,battery_degradation,5,battery_temp_measured,0.04026162589910639
22,battery_degradation,1,rule_pred_battery_voltage_sensor_drift,0.07235374329871548
22,battery_degradation,2,battery_soc_measured,0.07042748705238713
22,battery_degradation,3,battery_voltage_measured,0.06950715562515135
22,battery_degradation,4,battery_temp_measured,0.0682871059273314
22,battery_degradation,5,rule_confidence,0.044827825954770875
23,battery_degradation,1,physics_confidence,0.10237812729651707
23,battery_degradation,2,physics_pred_battery_degradation,0.07349518757527873
23,battery_degradation,3,battery_innovation_v,0.06572972967983025
23,battery_degradation,4,physics_pred_reaction_wheel_degradation,0.05189500845436686
23,battery_degradation,5,rule_pred_battery_voltage_sensor_drift,0.03447132024106449
24,battery_degradation,1,physics_confidence,0.12374369776863223
24,battery_degradation,2,physics_pred_battery_degradation,0.07350699969539021
24,battery_degradation,3,battery_temp_measured,0.06370295078814957
24,battery_degradation,4,battery_innovation_v,0.06273217388012986
24,battery_degradation,5,physics_pred_reaction_wheel_degradation,0.05427976811362256
25,battery_degradation,1,physics_confidence,0.08676854972606794
25,battery_degradation,2,battery_innovation_v,0.06280110015785866
25,battery_degradation,3,physics_pred_battery_degradation,0.062014125931404394
25,battery_degradation,4,physics_pred_reaction_wheel_degradation,0.05056116127853317
25,battery_degradation,5,rule_pred_battery_voltage_sensor_drift,0.037243137562489995
26,battery_degradation,1,physics_confidence,0.08678617217917904
