scenario_id,fault_type,severity,profile,noise_scale,fault_start_time_h,active_samples,rule_detection_recall,model_detection_recall,hybrid_detection_recall,hybrid_prefault_alarms,hybrid_prefault_fpr,raw_diagnosis_accuracy,selective_coverage,accepted_diagnosis_accuracy,operational_coverage,operational_accuracy,end_to_end_correct_fraction,scenario_correctly_diagnosed,first_correct_diagnosis_time_h,diagnosis_delay_min,severity_bin,noise_bin
1,solar_array_degradation,0.5839478994290928,gradual,1.0161880007322384,1.8578696273508724,249,0.5502008032128514,0.5421686746987951,0.5622489959839357,0,0.0,0.9879518072289156,0.7590361445783133,1.0,0.5582329317269076,1.0,0.5582329317269076,True,2.0,8.52782235894766,0.40-0.60,1.00-1.25
2,solar_array_degradation,0.3064119150938292,gradual,1.475221650121793,3.310287673354348,162,0.49382716049382713,0.49382716049382713,0.5246913580246914,2,0.010050251256281407,0.7530864197530864,0.5493827160493827,0.9325842696629213,0.4506172839506173,0.9726027397260274,0.4382716049382716,True,3.5166666666666666,12.382739598739114,0.20-0.40,1.25-1.50
3,solar_array_degradation,0.5815224824867908,gradual,1.3694214437816776,3.3397003210745564,160,0.5,0.50625,0.525,2,0.009950248756218905,0.75625,0.5,1.0,0.45625,1.0,0.45625,True,3.55,12.617980735526606,0.40-0.60,1.25-1.50
4,solar_array_degradation,0.3667395293000954,abrupt,1.1443626325089362,2.177624906627524,230,0.5608695652173913,0.5260869565217391,0.5608695652173913,0,0.0,0.991304347826087,0.782608695652174,0.9944444444444445,0.5565217391304348,0.9921875,0.5521739130434783,True,2.183333333333333,0.34250560234855065,0.20-0.40,1.00-1.25
5,solar_array_degradation,0.5979083722835573,abrupt,1.0857764261540406,2.361824121368863,219,0.5342465753424658,0.502283105022831,0.5342465753424658,1,0.007042253521126761,0.8995433789954338,0.684931506849315,1.0,0.5296803652968036,1.0,0.5296803652968036,True,2.3833333333333333,1.2905527178682252,0.40-0.60,1.00-1.25
6,solar_array_degradation,0.5569195226036318,gradual,0.9070620909271648,1.890795199743108,247,0.5506072874493927,0.5384615384615384,0.5587044534412956,0,0.0,0.979757085020243,0.854251012145749,1.0,0.5587044534412956,1.0,0.5587044534412956,True,2.0166666666666666,7.552288015413513,0.40-0.60,0.75-1.00
7,solar_array_degradation,0.6784773893128597,gradual,1.4601148432347362,3.249248114384359,166,0.5421686746987951,0.5301204819277109,0.5481927710843374,1,0.005128205128205128,0.7771084337349398,0.5120481927710844,0.9764705882352941,0.4879518072289157,1.0,0.4879518072289157,True,3.3833333333333333,8.045113136938458,0.60-0.80,1.25-1.50
8,solar_array_degradation,0.7402697594025334,abrupt,1.2719961526003374,2.365525479239904,219,0.5388127853881278,0.502283105022831,0.5388127853881278,0,0.0,0.7351598173515982,0.5114155251141552,0.9732142857142857,0.4977168949771689,1.0,0.4977168949771689,True,2.3666666666666667,0.06847124560575679,0.60-0.80,1.25-1.50
9,solar_array_degradation,0.35693182778708,gradual,1.1198327422386605,2.12764065452474,233,0.5150214592274678,0.5021459227467812,0.5236051502145923,0,0.0,0.9828326180257511,0.7467811158798283,1.0,0.51931330472103,1.0,0.51931330472103,True,2.283333333333333,9.341560728515583,0.20-0.40,1.00-1.25
10,solar_array_degradation,0.6387443950150669,gradual,1.0291082375976224,1.8778127295089169,248,0.5403225806451613,0.532258064516129,0.5524193548387096,0,0.0,0.967741935483871,0.7016129032258065,1.0,0.5483870967741935,1.0,0.5483870967741935,True,2.033333333333333,9.33123622946498,0.60-0.80,1.00-1.25
11,solar_array_degradation,0.4968978067502338,gradual,1.1828831283721493,2.3403865198412674,220,0.5136363636363637,0.4909090909090909,0.5136363636363637,0,0.0,0.8954545454545455,0.6863636363636364,1.0,0.509090909090909,1.0,0.509090909090909,True,3.0,39.57680880952395,0.40-0.60,1.00-1.25
12,solar_array_degradation,0.6764186364653026,gradual,1.1249662668083955,1.503604707213638,270,0.6,0.5814814814814815,0.6037037037037037,0,0.0,0.9296296296296296,0.7148148148148148,0.9948186528497409,0.5740740740740741,1.0,0.5740740740740741,True,1.6333333333333333,7.783717567181716,0.60-0.80,1.00-1.25
13,solar_array_degradation,0.7428224435320119,gradual,1.018673413943536,1.686891866989236,259,0.5945945945945946,0.5714285714285714,0.5945945945945946,0,0.0,0.8532818532818532,0.6447876447876448,1.0,0.583011583011583,1.0,0.583011583011583,True,1.7666666666666666,4.7864879806458305,0.60-0.80,1.00-1.25
14,solar_array_degradation,0.5402298550186695,gradual,1.4688483007230255,2.1284762624357656,233,0.5107296137339056,0.49356223175965663,0.5236051502145923,4,0.03125,0.9399141630901288,0.6695278969957081,0.9935897435897436,0.5064377682403434,0.9915254237288136,0.5021459227467812,True,2.316666666666667,11.291424253854077,0.40-0.60,1.25-1.50
15,solar_array_degradation,0.5725612791200297,abrupt,1.4602965624837472,3.2767908526333533,164,0.5853658536585366,0.5548780487804879,0.5853658536585366,0,0.0,0.8780487804878049,0.6219512195121951,1.0,0.5304878048780488,1.0,0.5304878048780488,True,3.316666666666667,2.3925488419988117,0.40-0.60,1.25-1.50
16,solar_array_degradation,0.3689680958603575,gradual,0.8196664115680854,2.0954189128417227,235,0.502127659574468,0.49361702127659574,0.5148936170212766,0,0.0,0.9914893617021276,0.8212765957446808,1.0,0.5148936170212766,1.0,0.5148936170212766,True,2.3,12.27486522949663,0.20-0.40,0.75-1.00
