true_label,predicted_label,baseline_probability,top5_ablated_probability,random5_ablated_probability,top5_probability_drop,random5_probability_drop,top5_larger_drop,top5_prediction_flip,random5_prediction_flip
nominal,nominal,0.7095265411497785,0.6116330873946652,0.7048022694990305,0.09789345375511338,0.004724271650748069,True,False,False
nominal,nominal,0.7379254838507763,0.6481414939351642,0.7345893305573807,0.0897839899156121,0.0033361532933955385,True,False,False
nominal,nominal,0.7271373702773577,0.7208234456938499,0.6934179620467327,0.006313924583507768,0.033719408230625025,False,False,False
nominal,nominal,0.7409598261050708,0.7237700910901667,0.7511374224002509,0.017189735014904173,-0.010177596295180114,True,False,False
solar_array_degradation,solar_array_degradation,0.9966785449293702,0.31263272878338516,0.9713712300015117,0.684045816145985,0.025307314927858537,True,True,False
solar_array_degradation,solar_array_degradation,0.9911639751552795,0.3252268342999808,0.9923030547844766,0.6659371408552988,-0.0011390796291970151,True,True,False
solar_array_degradation,solar_array_degradation,0.9995813953488372,0.34186362869975756,0.9985696306429549,0.6577177666490797,0.0010117647058822676,True,True,False
solar_array_degradation,solar_array_degradation,0.9889169820063326,0.3191599997477003,0.9887464134444597,0.6697569822586322,0.00017056856187291913,True,True,False
solar_array_degradation,solar_array_degradation,0.9293645396487622,0.2765967039940548,0.9267137365761299,0.6527678356547074,0.002650803072632324,True,True,False
solar_array_degradation,solar_array_degradation,0.9907935194492128,0.32428608637845874,0.9658965118277442,0.6665074330707541,0.024897007621468625,True,True,False
solar_array_degradation,solar_array_degradation,0.7120037206485396,0.21903545871306557,0.7130716218831076,0.492968261935474,-0.0010679012345680139,True,True,False
solar_array_degradation,solar_array_degradation,0.9924278846153847,0.32932096787650816,0.9638392268922075,0.6631069167388766,0.028588657723177202,True,True,False
solar_array_degradation,solar_array_degradation,0.9849948235659879,0.2737844383538297,0.9929948235659879,0.7112103852121582,-0.008000000000000007,True,True,False
solar_array_degradation,solar_array_degradation,0.9911383801383802,0.30369160109129895,0.9032254881523173,0.6874467790470813,0.08791289198606289,True,True,False
solar_array_degradation,solar_array_degradation,0.9964478940893914,0.3289315274010096,0.9192272308400251,0.6675163666883818,0.07722066324936627,True,True,False
solar_array_degradation,solar_array_degradation,0.9986755710196982,0.27972368388285246,0.9320491559253585,0.7189518871368457,0.06662641509433964,True,True,False
solar_array_degradation,solar_array_degradation,0.989414382215642,0.32684761830743814,0.8986962663942203,0.6625667639082039,0.09071811582142175,True,True,False
solar_array_degradation,solar_array_degradation,0.9832823028982317,0.32601816390721416,0.9812823028982317,0.6572641389910175,0.0020000000000000018,True,True,False
solar_array_degradation,solar_array_degradation,0.9960203344029896,0.3252827675719295,0.9693373206389013,0.6707375668310602,0.026683013764088326,True,True,False
solar_array_degradation,solar_array_degradation,0.9995202312138729,0.29659337669432345,0.8612620134290783,0.7029268545195495,0.13825821778479463,True,True,False
solar_array_degradation,solar_array_degradation,0.8856062775206052,0.27948165780499135,0.837080974213622,0.6061246197156138,0.048525303306983125,True,True,False
solar_array_degradation,solar_array_degradation,0.989680036835652,0.28523935649610926,0.977680036835652,0.7044406803395427,0.01200000000000001,True,True,False
solar_array_degradation,solar_array_degradation,0.9942702746764157,0.31063941409238577,0.9942702746764157,0.68363086058403,0.0,True,True,False
solar_array_degradation,solar_array_degradation,0.8859498641236915,0.30255222484427996,0.8213316500557377,0.5833976392794116,0.06461821406795376,True,True,False
solar_array_degradation,solar_array_degradation,0.998,0.30664780037027467,0.988,0.6913521996297254,0.010000000000000009,True,True,False
solar_array_degradation,solar_array_degradation,1.0,0.30666184581979755,1.0,0.6933381541802024,0.0,True,True,False
solar_array_degradation,solar_array_degradation,0.8550477582366273,0.26125211811747673,0.888,0.5937956401191505,-0.03295224176337275,True,True,False
solar_array_degradation,solar_array_degradation,0.8738142244307103,0.23699252428271478,0.8550545113817596,0.6368217001479956,0.018759713048950744,True,True,False
solar_array_degradation,solar_array_degradation,0.8758151091044626,0.24817495697938738,0.8758151091044626,0.6276401521250752,0.0,True,True,False
solar_array_degradation,solar_array_degradation,0.886127788747439,0.2707936206160166,0.886127788747439,0.6153341681314224,0.0,True,True,False
solar_array_degradation,solar_array_degradation,0.8702164731431007,0.29003919759222274,0.8069836997772971,0.580177275550878,0.06323277336580357,True,True,False
solar_array_degradation,solar_array_degradation,0.8872536817316252,0.2906814360921804,0.8320778457242717,0.5965722456394449,0.05517583600735354,True,True,False
solar_array_degradation,solar_array_degradation,0.8750598394471143,0.2383923841687818,0.8730598394471143,0.6366674552783325,0.0020000000000000018,True,True,False
solar_array_degradation,solar_array_degradation,0.9641572237540538,0.31681408506444797,0.9041997213574626,0.6473431386896058,0.059957502396591145,True,True,False
solar_array_degradation,solar_array_degradation,0.986063188575691,0.2618328296218942,0.8997549577894556,0.7242303589537968,0.0863082307862354,True,True,False
solar_array_degradation,solar_array_degradation,0.8814782608695653,0.28549490169146147,0.8674313723231035,0.5959833591781039,0.014046888546461744,True,True,False
solar_array_degradation,solar_array_degradation,0.8827687046195939,0.27145847011168334,0.8213735849056605,0.6113102345079106,0.06139511971393341,True,True,False
solar_array_degradation,solar_array_degradation,0.9900233949945594,0.31743728763620577,0.9900233949945594,0.6725861073583537,0.0,True,True,False
solar_array_degradation,solar_array_degradation,0.8424471789584412,0.2598243808105572,0.8424471789584411,0.582622798147884,1.1102230246251565e-16,True,True,False
solar_array_degradation,solar_array_degradation,0.8790432432432433,0.276672327969813,0.8779640643576128,0.6023709152734303,0.0010791788856305828,True,True,False
solar_array_degradation,solar_array_degradation,0.879271756665305,0.272117559920706,0.9902418165455446,0.607154196744599,-0.11097005988023956,True,True,False
solar_array_degradation,solar_array_degradation,0.7449529420092023,0.11757097877189616,0.7541856796401643,0.6273819632373061,-0.009232737630961996,True,True,False
solar_array_degradation,solar_array_degradation,0.7887753283684424,0.14110696768675215,0.7258313285622882,0.6476683606816903,0.06294399980615428,True,True,False
solar_array_degradation,solar_array_degradation,0.868483032093895,0.07959336659202926,0.7563963746439413,0.7888896655018658,0.11208665744995372,True,True,False
solar_array_degradation,solar_array_degradation,0.8825748060850784,0.10039883453593414,0.8857686549453486,0.7821759715491443,-0.0031938488602701876,True,True,False
solar_array_degradation,solar_array_degradation,0.7461915350109635,0.12460373762117505,0.6489722109776855,0.6215877973897884,0.09721932403327793,True,True,False
