fault_type,fault_samples,raw_recall,persistent_recall
solar_array_degradation,240,0.05,0.008333333333333333
battery_degradation,240,0.05416666666666667,0.004166666666666667
thermal_anomaly,240,0.016666666666666666,0.0
reaction_wheel_degradation,240,0.0125,0.0
battery_voltage_sensor_drift,240,0.025,0.0
telemetry_dropout,181,1.0,0.988950276243094
