dataset,time_h,innovation_v,soc_estimated,voltage_predicted_v,voltage_measured_v
nominal,0.0,0.16885579885746438,0.8956842555140059,29.414825630336267,29.58368142919373
nominal,0.0166666666666666,0.006611804813005051,0.9001779821505504,29.597386007283063,29.60399781209607
nominal,0.0333333333333333,0.00017129498253609654,0.9038139684125915,29.61519721304419,29.615368508026727
nominal,0.05,0.01834841834895684,0.9086214405644887,29.629626531746855,29.64797495009581
nominal,0.0666666666666666,-0.0003156169934541708,0.9121658577265787,29.648732973654997,29.648417356661543
nominal,0.0833333333333333,0.040418632788572495,0.9176740842388735,29.662922953680525,29.703341586469097
nominal,0.1,0.01839236066554406,0.9220149536154594,29.684866501342007,29.70325886200755
nominal,0.1166666666666666,0.05795247016456173,0.9279093457169006,29.702327262084808,29.76027973224937
nominal,0.1333333333333333,0.027564579095354702,0.9325264297370636,29.725932099256845,29.7534966783522
nominal,0.15,0.014505723384480973,0.9366457386268741,29.744483872389004,29.758989595773485
nominal,0.1666666666666666,-0.02237553764900113,0.9395009224013959,29.761131203636655,29.738755665987654
nominal,0.1833333333333333,0.01403444993165337,0.9436564145077958,29.772715462554533,29.786749912486187
nominal,0.2,-0.031152799309385415,0.9463530454167888,29.78956680631834,29.758414007008955
nominal,0.2166666666666666,-0.0032912951982098093,0.950067121127551,29.800700619626767,29.797409324428557
nominal,0.2333333333333333,-0.04005135234879731,0.9526419332609684,29.81576376088706,29.77571240853826
nominal,0.25,0.013913553143186874,0.9570390687836386,29.826367696817574,29.84028124996076
nominal,0.2666666666666666,-0.021056347677333775,0.9603914238677975,29.844253510266864,29.82319716258953
nominal,0.2833333333333333,0.034665355364495554,0.9655581659970656,29.857831456447112,29.892496811811608
nominal,0.3,-0.007366095881344847,0.969481678185502,29.878858078704248,29.871491982822903
nominal,0.3166666666666666,-0.00855792001004474,0.9734119982195049,29.894726634531764,29.88616871452172
nominal,0.3333333333333333,-0.014520854451518517,0.9771658327295234,29.910489110477812,29.895968256026293
nominal,0.35,0.007804528697484159,0.9816889591567932,29.92577635517383,29.933580883871315
nominal,0.3666666666666666,0.012838579011130946,0.986377395986665,29.943900611955836,29.956739190966967
nominal,0.3833333333333333,0.052486016076752406,0.9923080845144959,29.96266178914728,30.015147805224032
nominal,0.4,0.04360177972884571,0.9979623000055122,29.98639539619558,30.029997175924425
nominal,0.4166666666666667,0.042224455839409814,1.0,30.0,30.04222445583941
nominal,0.4333333333333333,-0.010023703221023084,0.9996869074810353,30.0,29.989976296778977
nominal,0.45,0.04012194322328355,1.0,30.0,30.040121943223284
nominal,0.4666666666666667,0.00684684990416784,1.0,30.0,30.006846849904168
nominal,0.4833333333333333,0.03617560862664959,1.0,30.0,30.03617560862665
nominal,0.5,-0.0028278766275775524,0.9999117635918771,30.0,29.997172123372422
nominal,0.5166666666666667,-0.0351469988647608,0.9989034727529341,30.0,29.96485300113524
nominal,0.5333333333333333,-0.011284682136903257,0.9996479717872502,30.0,29.988715317863097
nominal,0.55,0.03038147453459672,1.0,30.0,30.030381474534597
nominal,0.5666666666666667,0.06279504926791901,1.0,30.0,30.06279504926792
nominal,0.5833333333333334,-0.05233757960922958,0.9983676089992893,30.0,29.94766242039077
nominal,0.6,-0.0031046480419796296,0.9999031704069615,30.0,29.99689535195802
nominal,0.6166666666666667,-0.01115743743963904,0.9996520243644146,30.0,29.98884256256036
nominal,0.6333333333333333,-0.031586955321117216,0.9990148929155199,30.0,29.968413044678883
nominal,0.65,0.013169794762148967,1.0,30.0,30.01316979476215
nominal,0.6666666666666666,-0.005719531725155491,0.9998216289459833,30.0,29.994280468274845
nominal,0.6833333333333333,-0.015548395270986504,0.9995151073886379,30.0,29.984451604729013
nominal,0.7,0.009360284146538334,1.0,30.0,30.00936028414654
nominal,0.7166666666666667,-0.061897148304140615,0.9980696976360812,30.0,29.93810285169586
nominal,0.7333333333333333,0.024412910698984547,1.0,30.0,30.024412910698985
nominal,0.75,0.011501815930603954,1.0,30.0,30.011501815930604
nominal,0.7666666666666667,0.025331555714558363,1.0,30.0,30.02533155571456
nominal,0.7833333333333333,-0.06010566876199519,0.9981255873492597,30.0,29.939894331238005
nominal,0.8,-0.023824088700759916,0.9992570399449668,30.0,29.97617591129924
nominal,0.8166666666666667,0.01378157315149764,1.0,30.0,30.013781573151498
nominal,0.8333333333333334,0.005903282899708984,1.0,30.0,30.00590328289971
nominal,0.85,-0.0388941698422407,0.9987870788141173,30.0,29.96110583015776
nominal,0.8666666666666667,0.03983058396802974,1.0,30.0,30.03983058396803
nominal,0.8833333333333333,-0.010740500642231865,0.9996650559768534,30.0,29.989259499357768
nominal,0.9,-0.054927174775428966,0.9982870888121895,30.0,29.94507282522457
nominal,0.9166666666666666,0.009859860068477388,1.0,30.0,30.009859860068477
nominal,0.9333333333333332,0.011501943088550348,0.9953713727735949,29.980050733194396,29.991552676282947
nominal,0.95,-0.026803204033420513,0.9895019257109609,29.961351146952506,29.934547942919085
nominal,0.9666666666666668,-0.011875207817809041,0.9840505703344873,29.937683600127777,29.925808392309968
nominal,0.9833333333333332,0.008963050864647215,0.9791744012481336,29.915579550060272,29.92454260092492
nominal,1.0,0.04531651524778724,0.9753705549770795,29.89582941805952,29.941145933307308
nominal,1.0166666666666666,0.01670686495300089,0.9706033411285454,29.88032934299455,29.89703620794755
nominal,1.0333333333333334,-0.01552622563256989,0.9648180909565499,29.86120911182445,29.84568288619188
nominal,1.05,-0.019709011911626106,0.9587909164376408,29.837622176227786,29.81791316431616
nominal,1.0666666666666669,-0.0034884412609557103,0.9532425680193364,29.813405421706324,29.80991698044537
nominal,1.0833333333333333,-0.027049690060781728,0.9469200786942085,29.791054504432463,29.76400481437168
nominal,1.1,0.04991228544060533,0.9429813687695012,29.765699395780825,29.81561168122143
nominal,1.1166666666666667,0.031077204281078963,0.9384716528818197,29.75001002814158,29.78108723242266
nominal,1.1333333333333333,-0.012002048301642532,0.9325912315760131,29.731862066790214,29.71986001848857
nominal,1.15,0.05536335735830278,0.9288162277548744,29.708358862881827,29.76372222024013
nominal,1.1666666666666667,-0.002555936749356391,0.9232679167994122,29.693390495805595,29.69083455905624
nominal,1.1833333333333331,-0.0066993362804161904,0.9176476353936045,29.67142621955217,29.664726883271754
nominal,1.2,0.02594945329472864,0.9130701474373283,29.649043644222928,29.674993097517657
nominal,1.2166666666666666,0.0451736808040728,0.9091543132652241,29.63098226946153,29.676155950265603
nominal,1.2333333333333334,-0.07003585918770128,0.9017257474619763,29.615639291834512,29.54560343264681
nominal,1.25,-0.029017888847860718,0.8955987231390162,29.586014595986043,29.556996707138183
nominal,1.2666666666666666,0.0080256425928944,0.8907133917290926,29.561852444948116,29.56987808754101
nominal,1.2833333333333334,-0.0018945699537233907,0.8855738768664222,29.542531836903233,29.54063726694951
nominal,1.3,-0.02494374652357223,0.8797707562983011,29.522194518422467,29.497250771898894
nominal,1.3166666666666669,-0.06398944508993054,0.8728019848257262,29.499190009072638,29.435200563982708
nominal,1.3333333333333333,0.023195873196080186,0.868544211508488,29.471283383246305,29.494479256442386
nominal,1.35,-0.012298095566077194,0.863213084716736,29.454386408378838,29.44208831281276
nominal,1.3666666666666667,0.006339071312496003,0.8584816007741255,29.433135664727267,29.439474736039763
nominal,1.3833333333333333,-0.051062015377098646,0.8520066064875347,29.414395922801297,29.3633339074242
nominal,1.4,-0.03301052234667168,0.8460475551393086,29.388307966724703,29.35529744437803
nominal,1.4166666666666667,0.02944302930991327,0.8419955655856193,29.364309526727528,29.39375255603744
nominal,1.4333333333333331,-0.005717677307053748,0.8368281507340487,29.348025828360733,29.34230815105368
nominal,1.45,-0.021238126846295557,0.8311493736796731,29.327246747417334,29.30600862057104
nominal,1.4666666666666666,-0.019026428228816172,0.8254857375255793,29.304316314603522,29.285289886374706
nominal,1.4833333333333334,0.012251885261768791,0.8207241779688959,29.281368406657037,29.293620291918806
nominal,1.5,0.04478999807342632,0.8258753685738162,29.297914351470457,29.342704349543883
nominal,1.5166666666666666,-0.028183498311328492,0.8286634405551767,29.31816938341894,29.289985885107612
nominal,1.5333333333333334,0.0330315098390912,0.8333542300670216,29.32929655611329,29.362328065952383
nominal,1.55,0.032706651439575296,0.8379550311469827,29.34774028340385,29.380446934843427
nominal,1.5666666666666669,0.06222823319724924,0.8434525454357498,29.36604780628008,29.42827603947733
nominal,1.5833333333333333,0.012093950366896422,0.8473763945339724,29.38799697378134,29.400090924148238
nominal,1.6,0.042045276966444334,0.8522170720400094,29.40362354297792,29.445668819944363
nominal,1.6166666666666667,-0.0017468055818739003,0.8557132429558059,29.423070869071633,29.42132406348976
nominal,1.6333333333333333,-0.0059763229712537225,0.8590933865031858,29.437119035003935,29.43114271203268
nominal,1.65,-0.001056207690080413,0.8626800001499291,29.450851752382402,29.44979554469232
nominal,1.6666666666666667,-0.04513920803707805,0.8648984588647818,29.465224518878436,29.42008531084136
nominal,1.6833333333333331,-0.0004945199602488515,0.8685716444571493,29.474348264452306,29.473853744492057
nominal,1.7,0.00038402917561342065,0.872325312432719,29.489253345773193,29.489637374948806
nominal,1.7166666666666666,-0.006112530685840056,0.8759446580231286,29.504541111690173,29.498428581004333
nominal,1.7333333333333334,-0.017651215869221915,0.8792830440459051,29.5193339961279,29.50168278025868
nominal,1.75,-0.0028960019186214936,0.8831219650273667,29.53284910858268,29.52995310666406
nominal,1.7666666666666666,0.025432946955934455,0.8879466944286412,29.54861426142649,29.574047208382424
nominal,1.7833333333333334,0.005830123586839875,0.892245487893294,29.56825469955347,29.57408482314031
nominal,1.8,0.01719990824472717,0.8969530258003022,29.58566657955606,29.60286648780079
nominal,1.8166666666666669,-0.008087564840259631,0.9009273932385966,29.604718419126677,29.596630854286417
nominal,1.8333333333333333,0.019385599418569655,0.9057924814862318,29.6207517582817,29.64013735770027
nominal,1.85,-0.0625963745038689,0.9081137205405703,29.640263179723387,29.57766680521952
nominal,1.8666666666666667,-0.029497547818216674,0.9114676866902229,29.649550283036167,29.62005273521795
nominal,1.8833333333333333,0.061812800788271005,0.9176911638717126,29.663054101234057,29.724866902022328
nominal,1.9,-0.026308689441080446,0.921124645066592,29.687780337033065,29.661471647591984
nominal,1.9166666666666667,-0.03035088168853406,0.9244146268182108,29.70144448876689,29.671093607078355
nominal,1.9333333333333331,0.0017156907751747497,0.9286696849429528,29.714464723797217,29.716180414572392
nominal,1.95,-0.0033546384380649386,0.9327021447427716,29.731227037952806,29.72787239951474
nominal,1.9666666666666663,-0.010947125130613244,0.9364444756229995,29.747143451393768,29.736196326263155
nominal,1.9833333333333332,-0.033802438570795346,0.9394179451735164,29.761888310816516,29.72808587224572
nominal,2.0,0.0091623736158013,0.9436697326310264,29.773536012262063,29.782698385877865
nominal,2.0166666666666666,0.0051114107350862525,0.9477134525925393,29.790216210887873,29.79532762162296
nominal,2.033333333333333,-0.009003715596630713,0.9512601967400356,29.80616391415547,29.79716019855884
nominal,2.05,0.02336460494366932,0.9557542723446617,29.820102578925862,29.84346718386953
nominal,2.066666666666667,0.04090954589794649,0.9607215090524801,29.83778296258956,29.878692508487507
nominal,2.083333333333333,-0.02552779667162497,0.9635629459524538,29.857436131690523,29.8319083350189
nominal,2.1,0.010829081104265725,0.9675131190766326,29.868701652265273,29.87953073336954
nominal,2.1166666666666667,-0.010116583335310736,0.9707673362606829,29.88433129181856,29.87421470848325
nominal,2.1333333333333333,-0.011683428003646412,0.973980777862279,29.89738050707481,29.885697079071164
nominal,2.15,0.015226835316653364,0.9780105394791133,29.910142756201758,29.92536959151841
nominal,2.1666666666666665,0.028012910222923182,0.9824323584115464,29.926235091676595,29.95424800189952
nominal,2.183333333333333,0.008354429275893693,0.9862839582715581,29.944093698134225,29.95244812741012
nominal,2.2,0.0065224856427867905,0.9900882549890166,29.959539402408076,29.966061888050863
nominal,2.216666666666667,-0.00849032986720033,0.9934740684665192,29.974955361113867,29.966465031246667
nominal,2.2333333333333334,-0.053432873160176086,0.9954911427309349,29.988629809549558,29.93519693638938
nominal,2.25,-0.0034958157297886316,0.9990960083485223,29.99682010288938,29.99332428715959
nominal,2.2666666666666666,-0.00830100270257006,0.9997411323751937,30.0,29.99169899729743
nominal,2.283333333333333,0.014836699659689145,1.0,30.0,30.01483669965969
nominal,2.3,0.021021694705787297,1.0,30.0,30.021021694705787
nominal,2.316666666666667,-0.007213115912112045,0.9997750582368751,30.0,29.992786884087888
nominal,2.333333333333333,9.325650556846199e-05,1.0,30.0,30.00009325650557
nominal,2.35,-0.06292352872830875,0.9980377232715169,30.0,29.93707647127169
nominal,2.3666666666666667,0.0011168350926489268,1.0,30.0,30.00111683509265
nominal,2.3833333333333333,0.020703132742919905,1.0,30.0,30.02070313274292
nominal,2.4,-0.016844490803485712,0.9994747028182487,30.0,29.983155509196514
nominal,2.4166666666666665,-0.010897819427068356,0.9996601503780044,30.0,29.98910218057293
nominal,2.433333333333333,-0.009616859216890816,0.994390278102968,29.97876072339516,29.969143864178267
nominal,2.45,0.006971654810477901,0.9895686447614628,29.957404931950713,29.96437658676119
nominal,2.466666666666667,-0.03969337665381545,0.9832547585930373,29.937970402539626,29.89827702588581
nominal,2.4833333333333334,0.02917214855762751,0.9789883207715739,29.912314337248937,29.941486485806564
