scenario_id,fault_type,severity,profile,noise_scale,fault_start_time_h,hybrid_detection_recall,raw_diagnosis_accuracy,selective_coverage,end_to_end_correct_fraction,scenario_success_bool
75,reaction_wheel_degradation,0.2291030795492712,gradual,0.9364861493734896,2.4472103761322748,0.5841121495327103,0.6121495327102804,0.5420560747663551,0.5280373831775701,True
79,reaction_wheel_degradation,0.2328386859804335,gradual,1.290183357022873,1.567745396363424,0.2556390977443609,0.3571428571428571,0.2406015037593984,0.1654135338345864,True
76,reaction_wheel_degradation,0.2924945017656537,gradual,1.1991379978622243,2.696593689981004,0.4422110552763819,0.5175879396984925,0.3768844221105528,0.3668341708542713,True
61,reaction_wheel_degradation,0.309809248899257,gradual,1.413838279518862,1.6009178972209182,0.4696969696969697,0.5833333333333334,0.428030303030303,0.3636363636363636,True
72,reaction_wheel_degradation,0.3273244849123812,gradual,1.376356300655668,3.487812618867782,0.543046357615894,0.5894039735099338,0.4039735099337748,0.4039735099337748,True
80,reaction_wheel_degradation,0.3285072980723234,gradual,1.2669849793967467,2.98026249992586,0.4835164835164835,0.521978021978022,0.4395604395604395,0.4065934065934066,True
78,reaction_wheel_degradation,0.3308035580277609,abrupt,1.0465327892843292,2.710537189014909,0.7222222222222222,0.7828282828282829,0.702020202020202,0.696969696969697,True
70,reaction_wheel_degradation,0.3718692319942847,gradual,0.8751850190891066,2.4354001685708293,0.780373831775701,0.7990654205607477,0.7663551401869159,0.7570093457943925,True
65,reaction_wheel_degradation,0.439231361865161,gradual,1.0512637266937577,3.2635421616966225,0.6545454545454545,0.6787878787878788,0.6787878787878788,0.6424242424242425,True
62,reaction_wheel_degradation,0.4397581035350181,gradual,0.8140171212948634,1.886339951397319,0.9230769230769232,0.9352226720647774,0.9352226720647774,0.9190283400809716,True
69,reaction_wheel_degradation,0.4473512664881101,abrupt,1.2452795036204751,1.6541369758308428,0.8582375478927203,0.8888888888888888,0.8467432950191571,0.8237547892720306,True
64,reaction_wheel_degradation,0.4844217333556942,gradual,0.9824728163784012,2.130370206837421,0.8369098712446352,0.871244635193133,0.8412017167381974,0.8369098712446352,True
77,reaction_wheel_degradation,0.5831275118605782,gradual,1.373293265709942,2.259869868357676,0.8133333333333334,0.8355555555555556,0.7866666666666666,0.7866666666666666,True
67,reaction_wheel_degradation,0.5890004606630462,gradual,1.1469157392470744,1.7940930918834836,0.849802371541502,0.8972332015810277,0.8656126482213439,0.8379446640316206,True
74,reaction_wheel_degradation,0.5942738930945521,abrupt,1.1441022936205874,1.9725813673849248,0.9132231404958676,0.9462809917355371,0.8966942148760331,0.8966942148760331,True
71,reaction_wheel_degradation,0.6695092197744519,gradual,1.4048484465311923,3.0540980414084995,0.807909604519774,0.8305084745762712,0.7909604519774012,0.768361581920904,True
68,reaction_wheel_degradation,0.6698805975662906,abrupt,1.2961477284766412,1.8215730090562257,0.9203187250996016,0.9402390438247012,0.9322709163346612,0.9203187250996016,True
63,reaction_wheel_degradation,0.6960281720952892,gradual,1.1384498324517491,3.1829731168073643,0.8117647058823529,0.8352941176470589,0.8117647058823529,0.7941176470588235,True
66,reaction_wheel_degradation,0.7764132212166428,gradual,1.431265095790742,2.430703434151445,0.7813953488372093,0.8232558139534883,0.7674418604651163,0.7674418604651163,True
73,reaction_wheel_degradation,0.7774408662115393,abrupt,1.4188663231749152,2.4718659568526764,0.9386792452830188,0.9528301886792452,0.9009433962264152,0.9009433962264152,True
2,solar_array_degradation,0.3064119150938292,gradual,1.475221650121793,3.310287673354348,0.5246913580246914,0.7530864197530864,0.5493827160493827,0.4382716049382716,True
18,solar_array_degradation,0.312954296661419,gradual,1.2292696891672248,3.336793715741193,0.4625,0.71875,0.475,0.41875,True
9,solar_array_degradation,0.35693182778708,gradual,1.1198327422386605,2.12764065452474,0.5236051502145923,0.9828326180257512,0.7467811158798283,0.51931330472103,True
4,solar_array_degradation,0.3667395293000954,abrupt,1.1443626325089362,2.177624906627524,0.5608695652173913,0.991304347826087,0.782608695652174,0.5521739130434783,True
16,solar_array_degradation,0.3689680958603575,gradual,0.8196664115680854,2.0954189128417227,0.5148936170212766,0.9914893617021276,0.8212765957446808,0.5148936170212766,True
11,solar_array_degradation,0.4968978067502338,gradual,1.1828831283721493,2.3403865198412674,0.5136363636363637,0.8954545454545455,0.6863636363636364,0.509090909090909,True
19,solar_array_degradation,0.5276361379403856,gradual,1.1994869942021855,2.8192145349818984,0.5916230366492147,0.9424083769633508,0.8219895287958116,0.581151832460733,True
14,solar_array_degradation,0.5402298550186695,gradual,1.4688483007230255,2.1284762624357656,0.5236051502145923,0.9399141630901288,0.6695278969957081,0.5021459227467812,True
6,solar_array_degradation,0.5569195226036318,gradual,0.9070620909271648,1.890795199743108,0.5587044534412956,0.979757085020243,0.854251012145749,0.5587044534412956,True
17,solar_array_degradation,0.5625894480641828,gradual,1.1730178978991508,1.5257157754898607,0.5910780669144982,0.9591078066914498,0.7695167286245354,0.5613382899628253,True
20,solar_array_degradation,0.5693049646153203,gradual,0.8007857704654054,1.76952290324226,0.5590551181102362,0.9724409448818898,0.8503937007874016,0.5590551181102362,True
15,solar_array_degradation,0.5725612791200297,abrupt,1.4602965624837472,3.2767908526333533,0.5853658536585366,0.8780487804878049,0.6219512195121951,0.5304878048780488,True
3,solar_array_degradation,0.5815224824867908,gradual,1.3694214437816776,3.3397003210745564,0.525,0.75625,0.5,0.45625,True
1,solar_array_degradation,0.5839478994290928,gradual,1.0161880007322384,1.8578696273508724,0.5622489959839357,0.9879518072289156,0.7590361445783133,0.5582329317269076,True
5,solar_array_degradation,0.5979083722835573,abrupt,1.0857764261540406,2.361824121368863,0.5342465753424658,0.8995433789954338,0.684931506849315,0.5296803652968036,True
10,solar_array_degradation,0.6387443950150669,gradual,1.0291082375976224,1.8778127295089169,0.5524193548387096,0.967741935483871,0.7016129032258065,0.5483870967741935,True
12,solar_array_degradation,0.6764186364653026,gradual,1.1249662668083955,1.503604707213638,0.6037037037037037,0.9296296296296296,0.7148148148148148,0.5740740740740741,True
7,solar_array_degradation,0.6784773893128597,gradual,1.4601148432347362,3.249248114384359,0.5481927710843374,0.7771084337349398,0.5120481927710844,0.4879518072289157,True
8,solar_array_degradation,0.7402697594025334,abrupt,1.2719961526003374,2.365525479239904,0.5388127853881278,0.7351598173515982,0.5114155251141552,0.4977168949771689,True
13,solar_array_degradation,0.7428224435320119,gradual,1.018673413943536,1.686891866989236,0.5945945945945946,0.8532818532818532,0.6447876447876448,0.583011583011583,True
