method,precision,recall,f1,classification_accuracy,false_positive_rate,mean_detection_delay_min
Phase 3 - Rule Based,1.0,0.5633598841419262,0.7207040296433534,0.5633598841419262,0.0,33.666666666666664
Phase 4 - Model Based,1.0,0.6401158580738595,0.7805739514348786,0.6314265025343954,0.0,17.166666666666668
