scenario_id,fault_type,time_h,prediction,confidence,severity,noise_scale,profile,estimator_prediction,original_probability,top5_probability_drop,random5_probability_drop,top5_beats_random,top5_prediction_flip,random5_flip_rate,reconstruction_error,top1_feature,top5_features,top5_positive_strength,class_consensus_overlap,severity_bin,noise_bin
13,solar_array_degradation,1.7666666666666666,solar_array_degradation,0.7804482107403999,0.7428224435320119,1.018673413943536,gradual,solar_array_degradation,0.7804482107403999,0.6104412678852092,0.0234470556240723,True,True,0.0,5.551115123125783e-16,solar_relative_residual,solar_relative_residual|rule_pred_solar_array_degradation|physics_pred_solar_array_degradation|rule_confidence|rule_detected,0.40812683596168536,0.6,0.60-0.80,1.00-1.25
14,solar_array_degradation,2.316666666666667,solar_array_degradation,0.8798058923196362,0.5402298550186695,1.4688483007230255,gradual,solar_array_degradation,0.8798058923196362,0.7707039297658244,0.016945159354220717,True,True,0.0,4.440892098500626e-16,solar_relative_residual,solar_relative_residual|physics_pred_solar_array_degradation|battery_temp_measured|battery_current_measured|ml_power_ratio,0.41982351477843105,0.8,0.40-0.60,1.25-1.50
15,solar_array_degradation,3.316666666666667,solar_array_degradation,0.9610736617417605,0.5725612791200297,1.4602965624837472,abrupt,solar_array_degradation,0.9610736617417603,0.536210894548914,0.04016098230195621,True,False,0.0,3.3306690738754696e-16,solar_relative_residual,solar_relative_residual|rule_pred_solar_array_degradation|physics_pred_solar_array_degradation|rule_confidence|rule_pred_battery_voltage_sensor_drift,0.4109815841196937,0.6,0.40-0.60,1.25-1.50
16,solar_array_degradation,2.3,solar_array_degradation,0.8916803695950118,0.3689680958603575,0.8196664115680854,gradual,solar_array_degradation,0.8916803695950118,0.7785975721595485,0.018968039315664022,True,True,0.0,1.1102230246251565e-16,solar_relative_residual,solar_relative_residual|physics_pred_solar_array_degradation|battery_temp_measured|battery_current_measured|ml_power_ratio,0.42881073824188043,0.8,0.20-0.40,0.75-1.00
17,solar_array_degradation,1.7666666666666666,solar_array_degradation,0.8760593898140683,0.5625894480641828,1.1730178978991508,gradual,solar_array_degradation,0.8760593898140683,0.6438147462084577,0.03481551278171122,True,True,0.0,8.881784197001252e-16,solar_relative_residual,solar_relative_residual|rule_pred_solar_array_degradation|physics_pred_solar_array_degradation|rule_confidence|battery_temp_measured,0.41269649579216694,0.8,0.40-0.60,1.00-1.25
18,solar_array_degradation,3.716666666666667,solar_array_degradation,0.7032106399171294,0.312954296661419,1.2292696891672248,gradual,solar_array_degradation,0.7032106399171294,0.5524535909476213,0.008964460770025972,True,True,0.0,3.3306690738754696e-16,solar_relative_residual,solar_relative_residual|physics_pred_solar_array_degradation|battery_current_measured|ml_power_ratio|rule_pred_battery_voltage_sensor_drift,0.3638807492104769,0.6,0.20-0.40,1.00-1.25
19,solar_array_degradation,3.0,solar_array_degradation,0.7774368013289409,0.5276361379403856,1.1994869942021855,gradual,solar_array_degradation,0.7774368013289409,0.5355328712759899,0.02006812485100551,True,True,0.0,6.661338147750939e-16,solar_relative_residual,solar_relative_residual|rule_pred_solar_array_degradation|rule_confidence|rule_pred_battery_voltage_sensor_drift|battery_current_measured,0.3720416910207246,0.6,0.40-0.60,1.00-1.25
20,solar_array_degradation,1.95,solar_array_degradation,0.7555129023209427,0.5693049646153203,0.8007857704654054,gradual,solar_array_degradation,0.7555129023209427,0.6690767578602279,0.006946255355898168,True,True,0.0,9.992007221626409e-16,solar_relative_residual,solar_relative_residual|physics_pred_solar_array_degradation|battery_temp_measured|battery_current_measured|ml_power_ratio,0.39880266534399295,0.8,0.40-0.60,0.75-1.00
21,battery_degradation,3.2,battery_degradation,0.7595263366865929,0.7142472139919882,1.241847041941417,gradual,battery_degradation,0.7595263366865928,0.11344951899758327,0.004182224599466822,True,False,0.0,0.0,physics_confidence,physics_confidence|physics_pred_battery_degradation|physics_pred_reaction_wheel_degradation|rule_pred_battery_voltage_sensor_drift|battery_temp_measured,0.2637763235612228,1.0,0.60-0.80,1.00-1.25
22,battery_degradation,4.5,battery_degradation,0.9001835202758045,0.2770066408652321,0.7745387836476865,abrupt,battery_degradation,0.9001835202758045,0.4878079269457307,0.014486222727975484,True,False,0.0,7.771561172376096e-16,rule_pred_battery_voltage_sensor_drift,rule_pred_battery_voltage_sensor_drift|battery_soc_measured|battery_voltage_measured|battery_temp_measured|rule_confidence,0.32540331785835624,0.4,0.20-0.40,0.75-1.00
