threshold,frozen_threshold,accepted_samples,coverage,accepted_accuracy,accepted_errors,error_capture_rate,correct_retention_rate
0.5,False,21968,0.8710201815947028,0.9237982520029133,1674,0.5493943472409152,0.9436436343346043
0.6,False,20211,0.8013560128464375,0.9570036118945129,869,0.7660834454912517,0.899376918069376
0.7,True,18591,0.7371238253836089,0.9782690549190468,404,0.8912516823687753,0.8456709755417093
0.8,False,16564,0.6567542920582055,0.9899178942284472,167,0.9550471063257066,0.7624383892867107
0.9,False,13172,0.5222631933706039,0.9955967203158215,58,0.9843876177658143,0.6097833162838278
