fault_type,fault_samples,raw_recall,persistent_recall
solar_array_degradation,240,0.35,0.12083333333333333
battery_degradation,240,0.2708333333333333,0.07083333333333333
thermal_anomaly,240,0.2833333333333333,0.07916666666666666
reaction_wheel_degradation,240,0.225,0.07083333333333333
battery_voltage_sensor_drift,240,0.125,0.020833333333333332
telemetry_dropout,181,1.0,0.988950276243094
