time_s,time_h,battery_temp_c,electronics_temp_c,battery_soc_percent,in_sunlight
0.0,0.0,22.022336622077468,24.023,90.37202380952381,1
60.0,0.016666666666666666,22.0440820855283,24.046231823381635,90.7397282480819,1
120.0,0.03333333333333333,22.065272182808812,24.069675442080733,91.10337465128988,1
180.0,0.05,22.08596608540712,24.093293609048672,91.46347391526143,1
240.0,0.06666666666666667,22.10624304767322,24.117033549827237,91.82076346272446,1
300.0,0.08333333333333333,22.126198644166678,24.140829332236187,92.17617396049855,1
360.0,0.1,22.145940756644766,24.16460481061089,92.53078724807214,1
420.0,0.11666666666666667,22.165585445773118,24.18827701591674,92.88578732280843,1
480.0,0.13333333333333333,22.18525276215152,24.211759843580143,93.2424065324049,1
540.0,0.15,22.20506249014894,24.234967877864094,93.60186933629682,1
600.0,0.16666666666666666,22.22512979058318,24.25782018564875,93.96533610549126,1
660.0,0.18333333333333332,22.245560721450556,24.280243913814516,94.33384943013219,1
720.0,0.2,22.266447668077678,24.302177533008585,94.70828529592498,1
780.0,0.21666666666666667,22.287864795185605,24.32357358603067,95.08931127911457,1
840.0,0.23333333333333334,22.309863726717456,24.344400820724058,95.47735360424795,1
900.0,0.25,22.33246974450947,24.364645614158267,95.8725745228017,1
960.0,0.26666666666666666,22.35567885366486,24.384312625863366,96.27486102079239,1
1020.0,0.2833333333333333,22.379456074347853,24.403424651570308,96.68382536936933,1
1080.0,0.3,22.403735277205577,24.42202168385316,97.09881751570738,1
1140.0,0.31666666666666665,22.428420782318536,24.44015922073138,97.51894879484803,1
1200.0,0.3333333333333333,22.453390798504888,24.45790589615796,97.9431259490592,1
1260.0,0.35,22.47850260823675,24.475340535956107,98.3700939913844,1
1320.0,0.36666666666666664,22.503599226239025,24.49254876787772,98.79848606399409,1
1380.0,0.38333333333333336,22.52851710184386,24.509619333943963,99.22687813660377,1
1440.0,0.4,22.553094319098754,24.52664026623982,99.65384617892896,1
1500.0,0.4166666666666667,22.577183699661948,24.543695093302333,100.0,1
1560.0,0.43333333333333335,22.600671478522536,24.56085924290496,100.0,1
1620.0,0.45,22.623444075061695,24.578196798457135,100.0,1
1680.0,0.4666666666666667,22.645415485928414,24.595757750783328,100.0,1
1740.0,0.48333333333333334,22.666530204165745,24.613575865395426,100.0,1
1800.0,0.5,22.68676427586936,24.631667258472262,100.0,1
1860.0,0.5166666666666667,22.706124607093237,24.65002974378612,100.0,1
1920.0,0.5333333333333333,22.724646770954827,24.668642979121984,100.0,1
1980.0,0.55,22.74239165424882,24.687469405793593,100.0,1
2040.0,0.5666666666666667,22.75944131682011,24.7064559401982,100.0,1
2100.0,0.5833333333333334,22.775894417291664,24.725536343484183,100.0,1
