time_s,time_min,in_sunlight,battery_temp_c,electronics_temp_c,battery_heat_w,electronics_heat_w
0.0,0.0,1,22.022336622077468,24.023,6.700986623240457,17.5
60.0,1.0,1,22.0440820855283,24.046231823381635,6.563844954989063,17.707911690817763
120.0,2.0,1,22.065272182808812,24.069675442080733,6.436376938104555,17.9067366430758
180.0,3.0,1,22.08596608540712,24.093293609048672,6.325660708547438,18.087785252292473
240.0,4.0,1,22.10624304767322,24.117033549827237,6.23782763356395,18.243144825477398
300.0,5.0,1,22.126198644166678,24.140829332236187,6.17791643384851,18.36602540378444
360.0,6.0,1,22.145940756644766,24.16460481061089,6.149791302926885,18.451056516295154
420.0,7.0,1,22.165585445773118,24.18827701591674,6.156100100466465,18.494521895368276
480.0,8.0,1,22.18525276215152,24.211759843580143,6.198248715912373,18.494521895368276
540.0,9.0,1,22.20506249014894,24.234967877864094,6.2763733710982015,18.451056516295154
600.0,10.0,1,22.22512979058318,24.25782018564875,6.38930261254012,18.36602540378444
660.0,11.0,1,22.245560721450556,24.280243913814516,6.534512883262872,18.243144825477398
720.0,12.0,1,22.266447668077678,24.302177533008585,6.708093286747719,18.087785252292473
780.0,13.0,1,22.287864795185605,24.32357358603067,6.904743934917956,17.9067366430758
840.0,14.0,1,22.309863726717456,24.344400820724058,7.1178360908889795,17.707911690817763
900.0,15.0,1,22.33246974450947,24.364645614158267,7.33956004569558,17.5
960.0,16.0,1,22.35567885366486,24.384312625863366,7.561178286733225,17.292088309182244
1020.0,17.0,1,22.379456074347853,24.403424651570308,7.7733881414946895,17.0932633569242
1080.0,18.0,1,22.403735277205577,24.42202168385316,7.966781791143339,16.912214747707527
1140.0,19.0,1,22.428420782318536,24.44015922073138,8.132375032858029,16.756855174522606
1200.0,20.0,1,22.453390798504888,24.45790589615796,8.262162264078963,16.633974596215563
1260.0,21.0,1,22.47850260823675,24.475340535956107,8.349646356867026,16.548943483704846
1320.0,22.0,1,22.503599226239025,24.49254876787772,8.39029009550866,16.505478104631727
1380.0,23.0,1,22.52851710184386,24.509619333943963,8.381841288680363,16.505478104631727
1440.0,24.0,1,22.553094319098754,24.52664026623982,8.324495959787441,16.548943483704846
1500.0,25.0,1,22.577183699661948,24.543695093302333,8.222383943335767,16.633974596215563
1560.0,26.0,1,22.600671478522536,24.56085924290496,8.085264317567404,16.756855174522606
1620.0,27.0,1,22.623444075061695,24.578196798457135,7.912987623088427,16.912214747707527
1680.0,28.0,1,22.645415485928414,24.595757750783328,7.713622595126845,17.0932633569242
1740.0,29.0,1,22.666530204165745,24.613575865395426,7.496163345870727,17.29208830918224
1800.0,30.0,1,22.68676427586936,24.631667258472262,7.269975878583101,17.5
1860.0,31.0,1,22.706124607093237,24.65002974378612,7.044275063727152,17.707911690817763
1920.0,32.0,1,22.724646770954827,24.668642979121984,6.827673451244848,17.9067366430758
1980.0,33.0,1,22.74239165424882,24.687469405793593,6.627829175916296,18.087785252292473
2040.0,34.0,1,22.75944131682011,24.7064559401982,6.4512037490345175,18.243144825477398
2100.0,35.0,1,22.775894417291664,24.725536343484183,6.302924511743055,18.36602540378444
2160.0,36.0,1,22.79186149597829,24.7446341657689,6.1867335571126265,18.451056516295154
2220.0,37.0,1,22.807460316950515,24.763666136233486,6.104996984428596,18.494521895368276
2280.0,38.0,1,22.82281137654875,24.782545850934355,6.05874644998183,18.494521895368276
2340.0,39.0,1,22.83803360505992,24.80118759715947,6.047729031138663,18.451056516295154
2400.0,40.0,1,22.853240237621186,24.819510147189764,6.0704502574878765,18.36602540378444
2460.0,41.0,1,22.8685348187575,24.8374403556632,6.1242067686118205,18.243144825477398
2520.0,42.0,1,22.884007332981238,24.85491640332248,6.205116940885321,18.087785252292473
2580.0,43.0,1,22.89973051389178,24.87189054538205,6.308167472528647,17.9067366430758
2640.0,44.0,1,22.91575646163588,24.88833124440063,6.427299248235174,17.707911690817763
2700.0,45.0,1,22.932113774717916,24.904224594445424,6.555555555555556,17.5
2760.0,46.0,1,22.948805457649343,24.919574974308226,6.685309673920594,17.29208830918224
2820.0,47.0,1,22.96580788449165,24.93440490122761,6.808577876460634,17.0932633569242
2880.0,48.0,1,22.983071069835393,24.9487540915132,6.917409795207972,16.912214747707527
2940.0,49.0,1,23.000520421268742,24.962677769130142,7.004333355708877,16.75685517452261
3000.0,50.0,1,23.01806002789448,24.976244296169533,7.06281874600581,16.633974596215563
3060.0,51.0,1,23.035577392868106,24.989532228767587,7.08771754229766,16.548943483704846
3120.0,52.0,1,23.05294936475964,25.00262692714671,7.075630874623557,16.505478104631727
3180.0,53.0,1,23.070048885526933,25.0156168679388,7.025165086754626,16.505478104631727
3240.0,54.0,1,23.086752073192187,25.0285898199627,6.937044293524942,16.548943483704846
3300.0,55.0,1,23.102945110933312,25.04162905059543,6.814065054083598,16.633974596215563
3360.0,56.0,0,23.114984150934,25.03880972853971,10.99701319988554,16.756855174522606
3420.0,57.0,0,23.127617367576732,25.03632368020681,11.196936464501514,16.912214747707527
3480.0,58.0,0,23.140953629501126,25.034219617479003,11.430589838956548,17.0932633569242
3540.0,59.0,0,23.15507240127692,25.032530037157535,11.689348065840997,17.292088309182244
3600.0,60.0,0,23.170019310339132,25.031269796860276,11.96320304096143,17.5
3660.0,61.0,0,23.185802851826487,25.03043546186703,12.24109720481699,17.707911690817763
3720.0,62.0,0,23.20239258854615,25.030005451458244,12.511366149186292,17.9067366430758
3780.0,63.0,0,23.2197191602718,25.029940978351163,12.762278177078601,18.087785252292473
3840.0,64.0,0,23.237676319834975,25.030187740175307,12.982642357442007,18.243144825477398
3900.0,65.0,0,23.256125070129446,25.030678289061473,13.162442464044185,18.36602540378444
3960.0,66.0,0,23.27489980175959,25.031334975781572,13.293444615277142,18.451056516295154
4020.0,67.0,0,23.293816147332176,25.032073339766058,13.369723314942323,18.494521895368276
4080.0,68.0,0,23.312680099841877,25.032805796838666,13.388054818108483,18.494521895368276
4140.0,69.0,0,23.33129781268271,25.033445463496548,13.348138031964808,18.451056516295154
4200.0,70.0,0,23.349485426102113,25.033909950596144,13.252620088650426,18.36602540378444
4260.0,71.0,0,23.367078260040326,25.03412496064233,13.106923948447706,18.243144825477398
4320.0,72.0,0,23.383938777177633,25.034027531461778,12.918896009264554,18.087785252292473
4380.0,73.0,0,23.39996284363268,25.033568784496236,12.69830973543306,17.9067366430758
4440.0,74.0,0,23.41508398060992,25.032716057601903,12.456274211711902,17.707911690817763
4500.0,75.0,0,23.429275485228114,25.031454329141088,12.20460255055536,17.5
4560.0,76.0,0,23.442550477739275,25.029786871126323,11.955193626758271,17.29208830918224
4620.0,77.0,0,23.454960082509412,25.027735102871162,11.719472290972417,17.0932633569242
4680.0,78.0,0,23.466590054432928,25.02533765154361,11.507919725571414,16.91221474770753
4740.0,79.0,0,23.477556212258428,25.022648660680304,11.329709445629328,16.756855174522606
4800.0,80.0,0,23.487999036501098,25.019735420587292,11.192448454866106,16.633974596215563
4860.0,81.0,0,23.498077742051827,25.01667542419,11.102009930920405,16.548943483704846
4920.0,82.0,0,23.5079640609592,25.013552977005745,11.062435607905055,16.505478104631727
4980.0,83.0,0,23.517835889419135,25.010455509398962,11.075883847707596,16.505478104631727
5040.0,84.0,0,23.527870884742057,25.00746975229118,11.142603197830645,16.548943483704846
5100.0,85.0,0,23.538240058954155,25.004677943465282,11.26091985616535,16.633974596215563
5160.0,86.0,0,23.549101414743138,25.002154230266605,11.427238842812123,16.756855174522606
5220.0,87.0,0,23.56059370707966,24.99996142591989,11.636070247494857,16.912214747707527
5280.0,88.0,0,23.57283048174238,24.998148261226376,11.880101071558753,17.093263356924197
5340.0,89.0,0,23.585894624674026,24.99674725175493,12.150337746630113,17.29208830918224
5400.0,90.0,1,23.599114781665207,25.01177327374089,6.820657421767642,17.5
