time_s,time_min,time_h,in_sunlight,solar_power_w,load_power_w,battery_power_w,battery_soc_true,battery_soc_measured,battery_voltage_true,battery_voltage_measured,battery_current_true,battery_current_measured,battery_temp_true,battery_temp_measured,electronics_temp_true,electronics_temp_measured,battery_heat_w,electronics_heat_w,wheel_target_speed_rpm,wheel_speed_true,wheel_speed_measured,wheel_torque_nm,wheel_current_true,wheel_current_measured,wheel_temp_true,wheel_temp_measured,fault_label
0.0,0.0,0.0,1,600.0,350.0,-250.0,90.37202380952381,90.4329672254747,29.61488095238095,29.583681429193735,-8.44170200791912,-8.419188472044928,22.022336622077468,22.11639309371659,24.023,23.827896481134616,6.700986623240457,17.5,3000.0,3000.0,2993.4891024656886,0.0006283185307179586,0.16570796326794895,0.16634716528378538,24.979227572821976,24.95392816543449,nominal
60.0,1.0,0.016666666666666666,1,601.2556165273943,354.15823381635516,-247.09738271103913,90.7397282480819,90.73636801658104,29.629589129923275,29.60399781209607,-8.339548065534684,-8.313166126288799,22.0440820855283,22.121861279071194,24.046231823381635,24.052834893137756,6.563844954989063,17.70791169081776,3103.9558454088797,3051.97792270444,3057.61412873928,0.0019890973650273443,0.1997274341256836,0.20206498083694385,24.95874847619419,24.890005079163533,nominal
120.0,2.0,0.03333333333333333,1,602.5051158172811,358.134732861516,-244.37038295576508,91.10337465128988,91.17712480810638,29.644134986051597,29.615368508026727,-8.243464788928678,-8.21711127988946,22.065272182808812,22.060279591710188,24.069675442080733,24.051189205726207,6.436376938104555,17.9067366430758,3203.3683215379,3127.67312212117,3124.2684743991504,0.002620900448055877,0.21552251120139693,0.2216352178947671,24.938546098704002,24.926183740138498,nominal
180.0,3.0,0.05,1,603.7424104347197,361.7557050458495,-241.98670538887018,91.46347391526143,91.37780835082881,29.658538956610457,29.64797495009581,-8.159090565549752,-8.143121289983151,22.08596608540712,22.122510491843528,24.093293609048672,24.13456687020827,6.325660708547438,18.087785252292473,3293.8926261462366,3210.7828741337034,3212.936979148743,0.002830866546587775,0.22077166366469436,0.23147990166904667,24.918597552843362,24.886084351532592,nominal
240.0,4.0,0.06666666666666667,1,604.961472404706,364.8628965095479,-240.0985758951581,91.82076346272446,91.71831491691015,29.67283053850898,29.648417356661543,-8.091529238626613,-8.073049855949348,22.10624304767322,22.21914027694531,24.117033549827237,24.10563880406175,6.23782763356395,18.243144825477398,3371.572412738697,3291.1776434362005,3286.976861051388,0.002777194931208119,0.21942987328020297,0.21530746720174676,24.898879660493158,24.950927083519133,nominal
300.0,5.0,0.08333333333333333,1,606.156362579862,367.3205080756888,-238.83585450417326,92.17617396049855,92.32482479473923,29.68704695841994,29.703341586469097,-8.045119975681306,-8.065085266899967,22.126198644166678,22.14941477647335,24.140829332236187,24.15249791315026,6.17791643384851,18.36602540378444,3433.0127018922194,3362.0951726642097,3363.188615647855,0.0025459192073639977,0.21364798018409992,0.21800512407384087,24.879369033248576,24.89725667715055,nominal
360.0,6.0,0.1,1,607.3212595753644,369.0211303259031,-238.3001292494613,92.53078724807214,92.66656996068653,29.701231489922886,29.70325886200755,-8.023240697285983,-8.014567115325283,22.145940756644766,22.20906957922862,24.16460481061089,24.018889228625323,6.149791302926885,18.451056516295154,3475.5282581475767,3418.811715405893,3417.2133593241065,0.0021889911831264744,0.20472477957816185,0.20237291630669788,24.860041723756545,24.808931495897077,nominal
420.0,7.0,0.11666666666666667,1,608.450488130146,369.8904379073655,-238.56005022278055,92.88578732280843,92.8307588725631,29.715431492912337,29.76027973224937,-8.028153664188972,-8.05412859765977,22.165585445773118,22.262413281232266,24.18827701591674,24.019990038755157,6.156100100466465,18.494521895368276,3497.2609476841367,3458.036331545015,3456.361906395086,0.0017429323004629288,0.1935733075115732,0.19438707283709822,24.84087334921582,24.887771135724563,nominal
480.0,8.0,0.13333333333333333,1,609.5385467561977,369.8904379073655,-239.64810884883218,93.2424065324049,93.38465184836348,29.729696261296198,29.753496678352196,-8.060900008615953,-8.071361760783406,22.18525276215152,22.139017582885064,24.211759843580143,24.297557431705858,6.198248715912373,18.494521895368276,3497.2609476841367,3477.6486396145756,3476.6921179901674,0.0012376984602625,0.18094246150656249,0.17456402988987288,24.82183963129007,24.731176654169793,nominal
540.0,9.0,0.15,1,610.5801345412646,369.0211303259031,-241.55900421536148,93.60186933629682,93.4179788790965,29.74407477345187,29.758989595773485,-8.121247880635556,-8.116975108553438,22.20506249014894,22.274111025555715,24.234967877864094,24.19224261323044,6.2763733710982015,18.451056516295154,3475.5282581475767,3476.588448881076,3477.38114733646,0.0007006012993672623,0.16751503248418156,0.17064298445401824,24.802917168998125,24.778169445820506,nominal
600.0,10.0,0.16666666666666666,1,611.5701769743577,367.3205080756888,-244.24966889866886,93.96533610549126,94.05669115300275,29.75861344421965,29.738755665987654,-8.207696549992056,-8.218588165389008,22.22512979058318,22.186956001183347,24.25782018564875,24.138236221089848,6.38930261254012,18.36602540378444,3433.0127018922194,3454.8005753866473,3457.2354377905754,0.00015772978780866564,0.15394324469521664,0.15159623299420302,24.7840842940449,24.785083823543115,nominal
