time_s,time_min,target_speed_rpm,wheel_speed_rpm,angular_acceleration_rad_s2,inertia_torque_nm,friction_torque_nm,motor_torque_nm,motor_current_a,wheel_temperature_c
0.0,0.0,3000.0,3000.0,0.0,0.0,0.0006283185307179586,0.0006283185307179586,0.16570796326794895,24.979227572821976
60.0,1.0,3103.9558454088797,3051.97792270444,0.09071858895395905,0.0013607788343093857,0.0006283185307179586,0.0019890973650273443,0.1997274341256836,24.95874847619419
120.0,2.0,3203.3683215379,3127.67312212117,0.13211304577756286,0.001981695686663443,0.0006392047613924337,0.002620900448055877,0.21552251120139693,24.938546098704002
180.0,3.0,3293.8926261462366,3210.7828741337034,0.14505388131346894,0.002175808219702034,0.0006550583268857413,0.002830866546587775,0.22077166366469436,24.918597552843362
240.0,4.0,3371.572412738697,3291.1776434362005,0.1403153425709841,0.0021047301385647616,0.0006724647926433575,0.002777194931208119,0.21942987328020297,24.898879660493158
300.0,5.0,3433.0127018922194,3362.0951726642097,0.12377443824080814,0.001856616573612122,0.0006893026337518757,0.0025459192073639977,0.21364798018409992,24.879369033248576
360.0,6.0,3475.5282581475767,3418.811715405893,0.0989890411190468,0.001484835616785702,0.0007041555663407725,0.0021889911831264744,0.20472477957816185,24.860041723756545
420.0,7.0,3497.2609476841367,3458.036331545015,0.06845986994585805,0.0010268980491878708,0.0007160342512750581,0.0017429323004629288,0.1935733075115732,24.84087334921582
480.0,8.0,3497.2609476841367,3477.6486396145756,0.03422993497292926,0.0005134490245939389,0.0007242494356685611,0.0012376984602625,0.18094246150656249,24.82183963129007
540.0,9.0,3475.5282581475767,3476.588448881076,-0.0018503818998700202,-2.7755728498050303e-05,0.0007283570278653126,0.0007006012993672623,0.16751503248418156,24.802917168998125
600.0,10.0,3433.0127018922194,3454.8005753866473,-0.0380270129485775,-0.0005704051942286625,0.0007281349820373282,0.00015772978780866564,0.15394324469521664,24.7840842940449
660.0,11.0,3371.572412738697,3413.186494062673,-0.07263027342960461,-0.0010894541014440692,0.0007235717404834988,-0.00036588236096057034,0.15914705902401424,24.765371298209715
720.0,12.0,3293.8926261462366,3353.5395601044547,-0.10410353862905215,-0.0015615530794357822,0.0007148561076719463,-0.0008466969717638359,0.1711674242940959,24.746777531689744
780.0,13.0,3203.3683215379,3278.4539408211776,-0.1310491277392136,-0.001965736916088204,0.0007023636830364601,-0.001263373233051744,0.1815843308262936,24.72828196644546
840.0,14.0,3103.9558454088797,3191.2048931150284,-0.15227831517019014,-0.002284174727552852,0.0006866377877077544,-0.0015975369398450977,0.18993842349612744,24.709865507062307
900.0,15.0,3000.0,3095.602446557514,-0.1668577465390541,-0.0025028661980858115,0.0006683643898873316,-0.00183450180819848,0.195862545204962,24.691511756280946
960.0,16.0,2896.0441545911203,2995.8233005743177,-0.17414746222348612,-0.002612211933352292,0.0006483414603026452,-0.0019638704730496467,0.19909676182624117,24.673207665569283
1020.0,17.0,2796.6316784621,2896.227489518209,-0.1738274824123271,-0.002607412236184906,0.0006274437648358268,-0.0019799684713490795,0.19949921178372698,24.654944048653153
1080.0,18.0,2706.1073738537634,2801.1674316859862,-0.16591109963085132,-0.00248866649446277,0.0006065844669463477,-0.001882082027516422,0.19705205068791054,24.636715938974486
1140.0,19.0,2628.427587261303,2714.797509473645,-0.15074395172967456,-0.0022611592759451183,0.0005866751349906455,-0.0016744841409544729,0.19186210352386182,24.618522775982953
1200.0,20.0,2566.9872981077806,2640.8924037907127,-0.12898874282015385,-0.0019348311423023077,0.0005685858607830846,-0.0013662452815192232,0.18415613203798056,24.60036841001693
1260.0,21.0,2524.4717418524233,2582.682072821568,-0.10159619340871966,-0.0015239429011307947,0.0005531072116446661,-0.0009708356894861285,0.1742708922371532,24.58226092137587
1320.0,22.0,2502.7390523158633,2542.710562568716,-0.06976344609069447,-0.0010464516913604172,0.0005409156684356199,-0.0005055360229247973,0.16263840057311993,24.564212256047483
1380.0,23.0,2502.7390523158633,2522.7248074422896,-0.034881723045347236,-0.0005232258456802086,0.0005325440549047365,9.318209224527915e-06,0.1502329552306132,24.54623894625931
1440.0,24.0,2524.4717418524233,2523.5982746473564,0.0015244878636612687,2.286731795491903e-05,0.0005283582481392947,0.0005512255660942137,0.16378063915235533,24.528430792650212
1500.0,25.0,2566.9872981077806,2545.2927863775685,0.037864065930473124,0.0005679609889570968,0.0005285411866829341,0.0010965021756400308,0.17741255439100076,24.510807428556266
1560.0,26.0,2628.4275872613025,2586.8601868194355,0.07254879992055266,0.0010882319988082898,0.0005330848745945909,0.0016213168734028807,0.190532921835072,24.493386174654585
